INGR_ENG_NAME,INGR_KOR_NAME
CYCLOTETRASILOXANE,사이클로테트라실록세인
TETRADECENE,테트라데센
METHYL TRIMETHICONE,메틸트라이메티콘
OCTADECANE,옥타데케인
PEG-18,피이지-18
CYCLOHEXASILOXANE,사이클로헥사실록세인
PEG/PPG-6/2 COPOLYMER,피이지/피피지-6/2코폴리머
ETHYL ETHER,에틸에터
HEXANEDIOL,헥산다이올
DIBUTYL ADIPATE,다이부틸아디페이트
DIMETHYL ISOSORBIDE,다이메틸아이소소바이드
HYDROGENATED POLYDECENE,하이드로제네이티드폴리데센
PPG-55 GLYCERYL ETHER,피피지-55글리세릴에터
PERFLUOROPERHYDROPHENANTHRENE,퍼플루오로퍼하이드로페난트렌
ISOOCTANE,아이소옥탄
PERFLUORODIMETHYLCYCLOHEXANE,퍼플루오로다이메틸사이클로헥산
PHENOXYPROPANEDIOL,페녹시프로판다이올
DIOXOLANE,다이옥솔레인
CYCLOPENTASILOXANE,사이클로펜타실록세인
3-METHOXYBUTANOL,3-메톡시부탄올
TRIBUTYL CITRATE,트라이부틸시트레이트
SHARK LIVER OIL,상어간오일
DIETHYL OXALATE,다이에틸옥살레이트
HEXYLENE GLYCOL,헥실렌글라이콜
DIETHOXYETHYL SUCCINATE,다이에톡시에틸석시네이트
ETHYL ACETATE,에틸아세테이트
TRIACETIN,트라이아세틴
TRIETHYL PHOSPHATE,트라이에틸포스페이트
BENZYL BENZOATE,벤질벤조에이트
PROPYLENE GLYCOL BUTYL ETHER,프로필렌글라이콜부틸에터
DIMETHYL SUCCINATE,다이메틸석시네이트
MEK,엠이케이
GLYCERETH-18 BENZOATE,글리세레스-18벤조에이트
XYLENE,자일렌
PENTAFLUOROPROPANE,펜타플루오로프로판
METHOXYISOPROPANOL,메톡시아이소프로판올
SQUALENE,스쿠알렌
DIISOOCTYL ADIPATE,다이아이소옥틸아디페이트
PPG-3,피피지-3
C16-17 ALKYL BENZOATE,C16-17알킬벤조에이트
MIBK,미비케이
C10-12 ALKANE/CYCLOALKANE,C10-12알케인/사이클로알케인
CYCLOHEXANONE,사이클로헥산온
DI-PPG-3 MYRISTYL ETHER ADIPATE,다이-피피지-3미리스틸에터아디페이트
PEG/PPG-200/70 COPOLYMER,피이지/피피지-200/70코폴리머
C14-19 ALKANE,C14-19알케인
TOLUENE,톨루엔
SORBETH-30,솔베스-30
TETRAHYDROFURFURYL ACETATE,테트라하이드로퍼퓨릴아세테이트
C10-18 TRIGLYCERIDES,C10-18트라이글리세라이즈
DIETHYL SEBACATE,다이에틸세바케이트
DIBUTYL OXALATE,다이부틸옥살레이트
ISOBUTYL BENZOATE,아이소부틸벤조에이트
PERFLUORODECALIN,퍼플루오로데칼린
OCTYLDODECANOL,옥틸도데칸올
DIMETHYL PHTHALATE,다이메틸프탈레이트
PEG-4,피이지-4
PEG-240,피이지-240
PERFLUOROPERHYDROBENZYL TETRALIN,퍼플루오로퍼하이드로벤질테트랄린
GLYCERETH-7 LACTATE,글리세레스-7락테이트
METHYLBUTENES,메틸부텐
PPG-7,피피지-7
PEG/PPG-25/30 COPOLYMER,피이지/피피지-25/30코폴리머
PEG-135,피이지-135
ETHYL PYRROLIDONE,에틸피롤리돈
STEARYL BENZOATE,스테아릴벤조에이트
DITRIDECYL ADIPATE,다이트라이데실아디페이트
DECAFLUOROPENTANE,데카플루오로펜탄
CYCLOHEPTASILOXANE,사이클로헵타실록세인
GLYCOL,글라이콜
STYRENE,스타이렌
PEG-60,피이지-60
PPG-67 GLYCERYL ETHER,피피지-67글리세릴에터
PPG-70 GLYCERYL ETHER,피피지-70글리세릴에터
PEG/PPG-10/70 COPOLYMER,피이지/피피지-10/70코폴리머
ISOPROPYL ALCOHOL,아이소프로필알코올
METHYL GLUCETH-20 BENZOATE,메틸글루세스-20벤조에이트
DIISOPROPYL ADIPATE,다이아이소프로필아디페이트
PEG-14,피이지-14
PENTYLENE GLYCOL,펜틸렌글라이콜
METHOXYISOPROPYL ACETATE,메톡시아이소프로필아세테이트
ETHYL HEXANEDIOL,에틸헥산다이올
PENTANE,펜탄
MUSTELIC/PALMITIC TRIGLYCERIDE,무스텔릭/팔미틱트라이글리세라이드
DIPROPYLENE GLYCOL,다이프로필렌글라이콜
PPG-7-BUTETH-4,피피지-7-부테스-4
BUTOXYETHYL ACETATE,부톡시에틸아세테이트
ETHYLHEXYL ACETATE,에틸헥실아세테이트
OCTANE,옥탄
C11-14 ALKANE/CYCLOALKANE,C11-14알케인/사이클로알케인
DIOCTYLDODECYL SEBACATE,다이옥틸도데실세바케이트
ETHYL PERFLUOROBUTYL ETHER,에틸퍼플루오로부틸에터
PEG-150,피이지-150
METHYL ACETATE,메틸아세테이트
HEXYLDODECYL SALICYLATE,헥실도데실살리실레이트
PROPYL TRIMETHICONE,프로필트라이메티콘
C15-23 ALKANE,C15-23알케인
METHOXY PEG-100,메톡시피이지-100
ETHOXYDIGLYCOL,에톡시다이글라이콜
PPG-10 BUTANEDIOL,피피지-10부탄다이올
MINERAL SPIRITS,미네랄스피리트
TRIMETHYL PENTANOL HYDROXYETHYL ETHER,트라이메틸펜타놀하이드록시에틸에터
DITRIMETHYLOLPROPANE ISOSTEARATE/SEBACATE,다이트라이메틸롤프로판아이소스테아레이트/세바케이트
AMYL ACETATE,아밀아세테이트
HEXANEDIOL/ADIPATE/CITRATE CROSSPOLYMER,헥산다이올/아디페이트/시트레이트크로스폴리머
ISOPROPYLPHTHALIMIDE,아이소프로필프탈이미드
C15-19 ALKANE,C15-19알케인
HYDROXYPROPYLENE CARBONATE,하이드록시프로필렌카보네이트
OCTYLDODECYL METHOXYCRYLENE,옥틸도데실메톡시크릴렌
SD ALCOHOL 27-B,변성알코올27-B
SD ALCOHOL 39-A,변성알코올39-A
SD ALCOHOL 39-C,변성알코올39-C
SD ALCOHOL 39-D,변성알코올39-D
SD ALCOHOL 46,변성알코올46
SD ALCOHOL 38-F,변성알코올38-F
SD ALCOHOL 40-A,변성알코올40-A
METHYL ISOBUTYL GLYCEROL FORMAL,메틸아이소부틸글리세롤폼알
SD ALCOHOL 30,변성알코올30
SD ALCOHOL 37,변성알코올37
SD ALCOHOL 36,변성알코올36
SD ALCOHOL 38-C,변성알코올38-C
SD ALCOHOL 38-D,변성알코올38-D
DECENE,데센
N-BUTYL ALCOHOL,부틸알코올
METHOXY PEG-7,메톡시피이지-7
METHYL SUNFLOWERSEEDATE,메틸선플라워씨데이트
DIACETIN,다이아세틴
BUTYL LACTATE,부틸락테이트
C6-12 PERFLUOROALKYLETHANOL,C6-12퍼플루오로알킬에탄올
METHOXY PEG-16,메톡시피이지-16
ETHYLHEXYL BENZOATE,에틸헥실벤조에이트
METHYL PYRROLIDONE,메틸피롤리돈
PEG/PPG-7/50 COPOLYMER,피이지/피피지-7/50코폴리머
C9-10 ALKANE/CYCLOALKANE,C9-10알케인/사이클로알케인
C10-11 AROMATIC HYDROCARBONS,C10-11아로마틱하이드로카본
C9-13 ISOALKANE,C9-13아이소알케인
C10-12 ISOALKANE,C10-12아이소알케인
DIISOCETYL ADIPATE,다이아이소세틸아디페이트
TRICHLOROETHANE,트라이클로로에탄
ISOPENTANE,아이소펜탄
PPG-2 PROPYL ETHER,피피지-2프로필에터
PEG/PPG-38/8 COPOLYMER,피이지/피피지-38/8코폴리머
DIISODECYL ADIPATE,다이아이소데실아디페이트
PPG-15-BUTETH-20,피피지-15-부테스-20
PEG-10,피이지-10
BIS-ETHOXYDIGLYCOL SUCCINATE,비스-에톡시다이글라이콜석시네이트
PROPYLENE GLYCOL,프로필렌글라이콜
METHYL ALCOHOL,메틸알코올
C9-14 ISOALKANE,C9-14아이소알케인
COCOYL METHYL GLUCAMIDE,코코일메틸글루카마이드
PETROLEUM DISTILLATES,페트롤레움다이스틸레이트
GLYCERETH-7 TRIACETATE,글리세레스-7트라이아세테이트
HYDROGENATED TETRADECENYL/METHYLPENTADECENE,하이드로제네이티드테트라데세닐/메틸펜타데센
DIPENTAERYTHRITYL PENTAISOSTEARATE,다이펜타에리스리틸펜타아이소스테아레이트
DIETHYL PHTHALATE,다이에틸프탈레이트
"1,2,6-HEXANETRIOL","1,2,6-헥산트라이올"
ISOPROPYL ACETATE,아이소프로필아세테이트
MIXED TERPENES,혼합터펜
C12-18 ACID TRIGLYCERIDE,C12-18애씨드트라이글리세라이드
PEG-400,피이지-400
CYCLOHEXANE,사이클로헥세인
BUTYLOCTYL BENZOATE,부틸옥틸벤조에이트
THIOLANEDIOL,티올란다이올
PEG-8,피이지-8
BUTYLENE GLYCOL PROPIONATE,부틸렌글라이콜프로피오네이트
HEPTANE,헵탄
PEG-40,피이지-40
C11-15 ALKANE/CYCLOALKANE,C11-15알케인/사이클로알케인
PERFLUOROMETHYLCYCLOPENTANE,퍼플루오로메틸사이클로펜탄
PROPYLENE GLYCOL PROPYL ETHER,프로필렌글라이콜프로필에터
C9-12 ALKANE,C9-12알케인
PROPANEDIOL DICAPRYLATE,프로판다이올다이카프릴레이트
PEG-350,피이지-350
ETHYL GLYCERIN ACETAL LEVULINATE,에틸글리세린아세탈레불리네이트
CRYPTOMERIA JAPONICA BARK EXTRACT,삼나무껍질추출물
HEXYLOXYETHANOL,헥실옥시에탄올
PEG/PPG-15/15 ACETATE,피이지/피피지-15/15아세테이트
SD ALCOHOL 3-A,변성알코올3-A
POLYGLYCERYL-10 CAPRYLATE/CAPRATE,폴리글리세릴-10카프릴레이트/카프레이트
PEG/PPG-125/30 COPOLYMER,피이지/피피지-125/30코폴리머
DEODORIZED KEROSENE,디오도라이즈드케로신
PEG/PPG-160/31 COPOLYMER,피이지/피피지-160/31코폴리머
C14-20 ALKANE,C14-20알케인
DIISOBUTYL ADIPATE,다이아이소부틸아디페이트
"1,2-HEXANEDIOL","1,2-헥산다이올"
C13-14 ALKANE,C13-14알케인
PPG-25-GLYCERETH-22,피피지-25-글리세레스-22
CAPRYLIC/CAPRIC TRIGLYCERIDE,카프릴릭/카프릭트라이글리세라이드
SD ALCOHOL 38-B,변성알코올38-B
POLYGLYCERYL-3 CAPRATE/CAPRYLATE/SUCCINATE,폴리글리세릴-3카프레이트/카프릴레이트/석시네이트
PROPYLENE GLYCOL DIHEPTANOATE,프로필렌글라이콜다이헵타노에이트
DIISONONYL ADIPATE,다이아이소노닐아디페이트
DIMETHYL CAPRAMIDE,다이메틸카프라마이드
ISOPROPYL CITRATE,아이소프로필시트레이트
PEG-80,피이지-80
ISOSTEARYL GLYCOLATE,아이소스테아릴글라이콜레이트
METHYL LACTATE,메틸락테이트
PEG-450,피이지-450
METHYL HEXYL ETHER,메틸헥실에터
HYDROGENATED FARNESENE,하이드로제네이티드파네신
POLYGLYCERYL-4 LAURATE/SEBACATE,폴리글리세릴-4라우레이트/세바케이트
C9-11 ISOALKANE,C9-11아이소알케인
C9-16 ISOALKANE,C9-16아이소알케인
C7-8 ISOALKANE,C7-8아이소알케인
C12-20 ISOALKANE,C12-20아이소알케인
C13-16 ISOALKANE,C13-16아이소알케인
METHYL OLEATE/PALMITATE/LINOLEATE/STEARATE,메틸올리에이트/팔미테이트/리놀리에이트/스테아레이트
SD ALCOHOL 23-F,변성알코올23-F
SD ALCOHOL 39-B,변성알코올39-B
SD ALCOHOL 31-A,변성알코올31-A
SD ALCOHOL 40-C,변성알코올40-C
C18-24 ISOALKANE,C18-24아이소알케인
C8-9 ISOALKANE,C8-9아이소알케인
C11-14 ISOALKANE,C11-14아이소알케인
NITROUS ACID,나이트러스애씨드
PEG-6,피이지-6
C14-22 ALKANE,C14-22알케인
PPG-3 BENZYL ETHER MYRISTATE,피피지-3벤질에터미리스테이트
"1,2-BUTANEDIOL","1,2-부탄다이올"
"1,4-BUTANEDIOL","1,4-부탄다이올"
TRIMETHYLHEXANOL,트라이메틸헥산올
"1,5-PENTANEDIOL","1,5-펜탄다이올"
GLYCERIN,글리세린
C10-13 ALKANE,C10-13알케인
DICAPRYLYL ETHER,다이카프릴릴에터
PEG-6 METHYL ETHER,피이지-6메틸에터
PPG-2 BUTYL ETHER,피피지-2부틸에터
DIMETHYL ETHER,다이메틸에터
C8-12 ACID TRIGLYCERIDE,C8-12애씨드트라이글리세라이드
OLEYL ALCOHOL,올레일알코올
PEG-45,피이지-45
PEG-75,피이지-75
DIBUTYL SEBACATE,다이부틸세바케이트
PPG-2-BUTETH-3,피피지-2-부테스-3
ERYTHRITYL TRIETHYLHEXANOATE,에리스리틸트라이에틸헥사노에이트
TETRAHYDROFURFURYL ALCOHOL,테트라하이드로퍼퓨릴알코올
METHOXY PEG-40,메톡시피이지-40
DIETHYLENE GLYCOL,다이에틸렌글라이콜
ALCOHOL,에탄올
PEG-80 HYDROGENATED GLYCERYL PALMATE,피이지-80하이드로제네이티드글리세릴팔메이트
GLYCOFUROL,글라이코퓨롤
PERFLUOROHEXANE,퍼플루오로헥산
PEG/PPG-19/21 COPOLYMER,피이지/피피지-19/21코폴리머
EICOSANE,에이코세인
SORBETH-40,솔베스-40
PEG-220,피이지-220
PHOSPHATE BUFFERED SALINE,포스페이트버퍼드셀라인
HEXENE,헥센
HEXYLDECYL BENZOATE,헥실데실벤조에이트
PPG-5-BUTETH-7,피피지-5부테스-7
BUTYLENE GLYCOL,부틸렌글라이콜
METHOXY PEG-10,메톡시피이지-10
PEG-32,피이지-32
PEG-7 METHYL ETHER,피이지-7메틸에터
FUSEL WHEAT BRAN/STRAW GLYCOSIDES,퓨젤위트브랜/스트로글라이코사이드
NEOPENTYL GLYCOL,네오펜틸글라이콜
PEG-55,피이지-55
PEG-15 BUTANEDIOL,피이지-15부탄다이올
CYCLOETHOXYMETHICONE,사이클로에톡시메티콘
ISOPENTYLDIOL,아이소펜틸다이올
PEG/PPG-18/4 COPOLYMER,피이지/피피지-18/4코폴리머
DIETHYL SUCCINATE,다이에틸석시네이트
DI-C12-15 ALKYL MALEATE,다이-C12-15알킬말레이트
DIBUTYLOCTYL MALATE,다이부틸옥틸말레이트
METHYLPROPANEDIOL,메틸프로판다이올
OCTENE,옥텐
DECANE,데케인
ETHYLENE CARBONATE,에틸렌카보네이트
LIMONENE,리모넨
GLYCERETH-20 BENZOATE,글리세레스-20벤조에이트
PEG-3 METHYL ETHER,피이지-3메틸에터
HEXADECENE,헥사데센
DIETHOXYDIGLYCOL,다이에톡시다이글라이콜
BUTYROLACTONE,부티로락톤
PROPANEDIOL,프로판다이올
BENZYL LAURATE/MYRISTATE/PALMITATE,벤질라우레이트/미리스테이트/팔미테이트
OCTADECENE,옥타데센
CYCLOMETHICONE,사이클로메티콘
GLYCERETH-7 BENZOATE,글리세레스-7벤조에이트
PPG-3 CAPRYLYL ETHER,피피지-3카프릴릴에터
"TRIMETHYL-1,3-PENTANEDIOL","트라이메틸-1,3-펜탄다이올"
PEG-500,피이지-500
DIMETHYL CARBONATE,다이메틸카보네이트
C9-10 AROMATIC HYDROCARBONS,C9-10아로마틱하이드로카본
ETHYL LACTATE,에틸락테이트
DIISOAMYL MALATE,다이아이소아밀말레이트
DIBUTYLOCTYL SEBACATE,다이부틸옥틸세바케이트
POLYPERFLUOROETHOXYMETHOXY DIFLUOROMETHYL ETHER,폴리퍼플루오로에톡시메톡시다이플루오로메틸에터
BENZYL GLYCOL,벤질글라이콜
BUTYLOCTANOL,부틸옥탄올
DIISOPROPYL SEBACATE,다이아이소프로필세바케이트
PEG/PPG-8/55 COPOLYMER,피이지/피피지-8/55코폴리머
PEG/PPG-116/66 COPOLYMER,피이지/피피지-116/66코폴리머
PEG/PPG-10/30 COPOLYMER,피이지/피피지-10/30코폴리머
GLYCERETH-7 DIISONONANOATE,글리세레스-7다이아이소노나노에이트
BUTOXYDIGLYCOL,부톡시다이글라이콜
DIMETHYL SULFONE,다이메틸설폰
ETHYL PERFLUOROISOBUTYL ETHER,에틸퍼플루오로아이소부틸에터
TRIMETHYLOLPROPANE,트라이메틸올프로판
PEG/PPG-23/50 COPOLYMER,피이지/피피지-23/50코폴리머
PEG/PPG-35/9 COPOLYMER,피이지/피피지-35/9코폴리머
METHYL PERFLUOROBUTYL ETHER,메틸퍼플루오로부틸에터
PEG-33,피이지-33
PROPYL ACETATE,프로필아세테이트
PPG-2 METHYL ETHER,피피지-2메틸에터
PPG-2 METHYL ETHER ACETATE,피피지-2메틸에터아세테이트
HYDROGENATED POLYDODECENE,하이드로제네이티드폴리도데센
DIMETHYL MALEATE,다이메틸말리에이트
